model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 109,Gaussian,3,0.0001,32,500,0.10404270887374878,0.2607991695404053,0.3225565254688263,0.9575337171554565,0.10013030469417572,0.253478080034256,0.31643372774124146,0.9594417214393616,117.42498111724854
model 110,Gaussian,4,0.0001,32,500,0.10194015502929688,0.25817254185676575,0.3192806839942932,0.9583920240402222,0.09846780449151993,0.25095799565315247,0.313795804977417,0.9601151347160339,210.43484354019165
model 111,Gaussian,5,0.0001,32,500,0.09593604505062103,0.25146380066871643,0.3097354471683502,0.9608427882194519,0.09044771641492844,0.24228282272815704,0.30074527859687805,0.9633637070655823,390.8276665210724
model 112,Generalized Bell,3,0.0001,32,500,0.09924198687076569,0.2541508972644806,0.3150269687175751,0.9594934582710266,0.09595417976379395,0.2466001659631729,0.30976471304893494,0.9611333012580872,126.47452807426453
model 113,Generalized Bell,4,0.0001,32,500,0.0985131785273552,0.25168439745903015,0.31386810541152954,0.9597908854484558,0.09466562420129776,0.24433386325836182,0.3076778054237366,0.9616551995277405,223.5850522518158
model 114,Generalized Bell,5,0.0001,32,500,0.10168220847845078,0.25760358572006226,0.3188764750957489,0.9584972858428955,0.09858936816453934,0.24959444999694824,0.31398943066596985,0.9600659012794495,408.81721687316895
model 115,Smoothed Triangular,3,0.0001,32,500,14.197389602661133,3.5768537521362305,3.767942428588867,-4.794829845428467,14.371938705444336,3.595780372619629,3.791033983230591,-4.821424961090088,134.1071138381958
model 116,Smoothed Triangular,4,0.0001,32,500,0.10643891245126724,0.26380330324172974,0.32624977827072144,0.9565558433532715,0.10348416864871979,0.25715669989585876,0.32168954610824585,0.9580832123756409,237.6452522277832
model 117,Smoothed Triangular,5,0.0001,32,500,0.15417668223381042,0.27959468960762024,0.39265337586402893,0.9370712041854858,0.1663530468940735,0.277084082365036,0.4078640043735504,0.9326179027557373,425.6722893714905
model 118,Gaussian,3,0.0005,32,500,0.09789840131998062,0.2529357671737671,0.31288719177246094,0.960041880607605,0.09425469487905502,0.24501125514507294,0.3070092797279358,0.9618216753005981,115.16700911521912
model 119,Gaussian,4,0.0005,32,500,0.097199447453022,0.2521171271800995,0.3117682635784149,0.9603269696235657,0.09365641325712204,0.24513225257396698,0.30603334307670593,0.9620640277862549,214.73491096496582
